# Aozora gaiji composition-description census (P39-5) — the HELD input for the
# aozora IDS lane builder (Nabu::Ops::AozoraIdsBuilder -> config/gaiji/aozora-ids.tsv).
#
# Each row is a DISTINCT component-composition description that the aozora-ruby
# parser (P38-3) left as a loud in-text sentinel ※［＃…］ + a class=="unresolved"
# gaiji annotation, because it carries neither a JIS kuten nor a U+ codepoint
# (survey §4c class-(c)). The "desc" is exactly the parser's stored gaiji "desc"
# field: the leading 「…」 component-formula (page/line locators and reading
# notes stripped), so it is the STABLE per-glyph key regardless of which book or
# page an occurrence came from — the same key the display render path derives
# from the in-text notation (Nabu::Display::GAIJI_SENTINELS["aozora"]).
#
# Rows are the composition subset ONLY (descs containing ＋ or ／): the input
# the IDS grammar can act on. The builder derives an IDS for the mechanical cases
# and REFUSES the rest (kana radical-names, subtraction −, 代えて replacements,
# parenthesised/nested or multi-operator formulae). count<TAB>desc; count = live
# occurrences at the census date.
#
# GENERATED (read-only) from db/catalog.sqlite3 — the parse-time gaiji_unresolved
# annotations of the live aozora corpus. A snapshot, regenerated on the owner's
# schedule as the corpus grows (mirrors the fold-table caveat).
#
# census: 582, 2026-07-22, aozora composition descriptions — 16004 documents,
#   1861 distinct unresolved-gaiji descriptions (19094 occurrences) total;
#   the composition subset below is 582 distinct (1129 occurrences).
#
# count	desc
1	△／‥、252-11
1	△／‥、253-10
1	△／‥、253-9
1	△／‥、254-12
1	△／‥、254-5
1	△／‥、255-3
1	△／‥、255-7
1	△／‥、255-8
1	○／‥、257-14
2	○／‥、257-6
1	○／‥、257-7
1	○／六
1	「けものへん＋僚のつくり、145-7
1	「さんずい＋（从／巫）、717-8
1	「敖／馬
1	「虫＋（くさかんむり／天／廾）、146-7
1	「虫＋（くさかんむり／天／廾）、149-14
1	うかんむり＋婁
4	うかんむり／婁
2	うかんむり／必／冉
8	えんにょう＋囘
1	くさかんむり＋推
1	くさかんむり／「斂
4	くさかんむり／倩
1	くさかんむり／兪
2	くさかんむり／冏
2	くさかんむり／哽のつくり
1	くさかんむり／圍
1	くさかんむり／均
2	くさかんむり／大／巳
9	くさかんむり／奔
1	くさかんむり／寇
1	くさかんむり／悄のつくり
2	くさかんむり／捕
1	くさかんむり／支
7	くさかんむり／更
1	くさかんむり／渠
8	くさかんむり／稾
1	くさかんむり／突
2	くさかんむり／翳
1	くさかんむり／要
1	くさかんむり／貍
1	くさかんむり／酉＋焦
2	くさかんむり／開
1	くさかんむり／骨
2	くさかんむり／（夷－十）
2	くさかんむり／（束＋束）
1	くさかんむり／（止＋（自／儿）＋氾のつくり）／夂
2	くさかんむり／（歹＋昜）
1	くさかんむり／（歹＋食）
1	くさかんむり／（火＋禾）
1	けものへん＋丑
2	けものへん＋付
