# Aozora gaiji ladder — lane 2 of 4: the IDS (Ideographic Description
# Sequence) map (P39-5). GENERATED — do not edit by hand. Regenerate with:
#   rake gaiji:aozora_ids   (reads config/gaiji/aozora-descriptions.tsv)
#
# desc <TAB> ids-sequence. The desc is the component-formula the aozora-ruby
# parser stores for a class-(c) gaiji sentinel ※［＃…］; it is the lane KEY the
# reading-mode render path derives from the in-text notation. An IDS here is a
# STRUCTURAL claim (⿰AB = A-left/B-right), rendered on the description-honest
# IDS rung — never an identity claim, never a real codepoint.
#
# GRAMMAR (mechanical only, Nabu::Ops::AozoraIdsBuilder): single ＋ between two
# literal CJK ideographs -> ⿰; single ／ -> ⿱. Everything else REFUSED and left
# as the loud sentinel — full policy + refusal classes on the builder.
#
# census: 244, 2026-07-22, derived IDS lane — from 582 composition descriptions
#   (1129 occurrences); derived 244 (522 occ, 46.2% of composition occurrences).
# Refused 338: 283 kana-component, 0 代えて-replace, 14 subtractive,
#   21 parenthesised, 3 multi-operator, 17 other (non-Han/malformed).
#
一／力	⿱一力
三／二	⿱三二
丞／己	⿱丞己
二／二	⿱二二
亜／土	⿱亜土
兀＋危	⿰兀危
入／王	⿱入王
兪／心	⿱兪心
冫＋咸	⿰冫咸
冫＋影	⿰冫影
冫＋虫	⿰冫虫
刀／貝	⿱刀貝
匈／月	⿱匈月
卓＋戈	⿰卓戈
厂＋至	⿰厂至
厂＋黒	⿰厂黒
厂＋龍	⿰厂龍
口＋下	⿰口下
口＋世	⿰口世
口＋咨	⿰口咨
口＋地	⿰口地
口＋堂	⿰口堂
口＋姜	⿰口姜
口＋尨	⿰口尨
口＋彗	⿰口彗
口＋息	⿰口息
口＋敗	⿰口敗
口＋斗	⿰口斗
口＋桑	⿰口桑
口＋欷	⿰口欷
口＋盧	⿰口盧
口＋若	⿰口若
口＋需	⿰口需
口／十	⿱口十
口／恩	⿱口恩
口／温	⿱口温
口／軋	⿱口軋
君＋頁	⿰君頁
土＋已	⿰土已
土＋母	⿰土母
士／毋	⿱士毋
女＋保	⿰女保
女＋半	⿰女半
女＋展	⿰女展
女＋島	⿰女島
女＋感	⿰女感
女＋早	⿰女早
女＋苗	⿰女苗
女＋蚩	⿰女蚩
女＋釆	⿰女釆
姦＋干	⿰姦干
子＋盡	⿰子盡
孛＋鳥	⿰孛鳥
宀／婁	⿱宀婁
宀／成	⿱宀成
安／革	⿱安革
寸＋多	⿰寸多
就／言	⿱就言
尸＋矢	⿰尸矢
尸＋阿	⿰尸阿
山＋労	⿰山労
山＋咢	⿰山咢
山＋圭	⿰山圭
山＋角	⿰山角
山／卒	⿱山卒
山／眉	⿱山眉
山／辟	⿱山辟
山／頽	⿱山頽
巾＋兌	⿰巾兌
巾＋正	⿰巾正
巾＋莫	⿰巾莫
广＋寺	⿰广寺
廴＋囘	⿰廴囘
弓＋肖	⿰弓肖
戸／乙	⿱戸乙
救／心	⿱救心
敖／心	⿱敖心
敝／犬	⿱敝犬
敝／龜	⿱敝龜
斬／手	⿱斬手
曷＋毛	⿰曷毛
月＋亨	⿰月亨
月＋因	⿰月因
月＋毛	⿰月毛
月＋瞿	⿰月瞿
月＋矣	⿰月矣
月＋祭	⿰月祭
木＋冉	⿰木冉
木＋号	⿰木号
木＋呈	⿰木呈
木＋忽	⿰木忽
木＋戈	⿰木戈
木＋旃	⿰木旃
木＋窄	⿰木窄
木＋草	⿰木草
木＋覧	⿰木覧
木＋霊	⿰木霊
木／喬	⿱木喬
此／目	⿱此目
歹＋勿	⿰歹勿
殼／心	⿱殼心
殿／土	⿱殿土
火＋單	⿰火單
火＋房	⿰火房
火＋斤	⿰火斤
火＋發	⿰火發
片＋怱	⿰片怱
牛＋子	⿰牛子
王＋且	⿰王且
王＋倉	⿰王倉
王＋它	⿰王它
王＋昌	⿰王昌
王＋牙	⿰王牙
王＋田	⿰王田
王＋累	⿰王累
甘＋舌	⿰甘舌
田＋鹿	⿰田鹿
白＋光	⿰白光
白＋斗	⿰白斗
白＋番	⿰白番
目＋丑	⿰目丑
目＋乏	⿰目乏
目＋夢	⿰目夢
目＋宗	⿰目宗
目＋帝	⿰目帝
目＋末	⿰目末
目＋炎	⿰目炎
目＋盧	⿰目盧
矛＋贊	⿰矛贊
知／久	⿱知久
知／寸	⿱知寸
石＋可	⿰石可
石＋囘	⿰石囘
石＋昔	⿰石昔
石＋柬	⿰石柬
石＋雷	⿰石雷
石＋龍	⿰石龍
示＋勺	⿰示勺
示＋氏	⿰示氏
穴／宇	⿱穴宇
竹／彗	⿱竹彗
米＋屑	⿰米屑
糸＋原	⿰糸原
糸＋取	⿰糸取
糸＋寄	⿰糸寄
糸＋察	⿰糸察
糸＋尭	⿰糸尭
糸＋弗	⿰糸弗
糸＋彌	⿰糸彌
糸＋戊	⿰糸戊
糸＋熏	⿰糸熏
糸＋率	⿰糸率
糸＋肅	⿰糸肅
糸＋至	⿰糸至
糸＋貴	⿰糸貴
缶＋卩	⿰缶卩
网／卯	⿱网卯
老／子	⿱老子
耳＋吾	⿰耳吾
臼／勿	⿱臼勿
舟＋夾	⿰舟夾
舟＋巨	⿰舟巨
舟＋覧	⿰舟覧
舟＋走	⿰舟走
茲／瓦	⿱茲瓦
菲／一	⿱菲一
虫＋元	⿰虫元
虫＋其	⿰虫其
虫＋孟	⿰虫孟
虫＋廷	⿰虫廷
虫＋息	⿰虫息
虫＋恵	⿰虫恵
虫＋慈	⿰虫慈
虫＋慮	⿰虫慮
虫＋或	⿰虫或
虫＋條	⿰虫條
虫＋田	⿰虫田
虫＋糸	⿰虫糸
虫＋羸	⿰虫羸
虫＋豈	⿰虫豈
血＋卜	⿰血卜
衣＋農	⿰衣農
言＋叟	⿰言叟
言＋委	⿰言委
言＋皮	⿰言皮
言＋票	⿰言票
討／貝	⿱討貝
讀＋言	⿰讀言
豈＋風	⿰豈風
豊＋弟	⿰豊弟
豕＋巴	⿰豕巴
豕＋賁	⿰豕賁
貝＋兄	⿰貝兄
貝＋冒	⿰貝冒
貝＋藏	⿰貝藏
走＋喬	⿰走喬
走＋尓	⿰走尓
足＋勺	⿰足勺
足＋占	⿰足占
身＋冉	⿰身冉
身＋応	⿰身応
車＋令	⿰車令
車＋兀	⿰車兀
車＋全	⿰車全
車＋般	⿰車般
辟／鳥	⿱辟鳥
酉＋嚴	⿰酉嚴
酉＋票	⿰酉票
酉＋靈	⿰酉靈
金＋乏	⿰金乏
金＋夫	⿰金夫
金＋志	⿰金志
金＋截	⿰金截
金＋支	⿰金支
金＋柔	⿰金柔
金＋表	⿰金表
金＋質	⿰金質
阿／女	⿱阿女
革＋室	⿰革室
革＋巴	⿰革巴
革＋建	⿰革建
革＋引	⿰革引
革＋背	⿰革背
馬＋來	⿰馬來
馬＋勺	⿰馬勺
馬＋央	⿰馬央
馬＋干	⿰馬干
馬＋戎	⿰馬戎
馬＋畢	⿰馬畢
馬／廾	⿱馬廾
髟＋坐	⿰髟坐
髟／丐	⿱髟丐
髟／再	⿱髟再
髟／胡	⿱髟胡
魚＋才	⿰魚才
魚＋昜	⿰魚昜
魚＋節	⿰魚節
魚＋豕	⿰魚豕
鹵＋差	⿰鹵差
鹿＋鳥	⿰鹿鳥
鹿／几	⿱鹿几
鼓／兆	⿱鼓兆
鼠＋占	⿰鼠占
齒＋兒	⿰齒兒
