# Kanripo gaiji resolution map (P37-3) — the FAITHFUL codepoint subset.
# ref-id <TAB> unicode-glyph.  Consulted ONLY by --display reading on kanripo
# passages (config/display.yml sources: kanripo.gaiji: placeholder); a ref not
# listed here renders the placeholder box ⬚. Diplomatic/full keep refs verbatim.
#
# CENSUS-DERIVED, curated like MARK_CLASSES / EAST_ASIAN_WIDE: generated from the
# KR-Gaiji charlist.org.txt at commit 662fd61d (2019-11-30, github.com/kanripo/
# KR-Gaiji, CC BY-SA 4.0). The upstream charlist has 5,254 refs; this file ships
# ONLY the 972 whose “unicode representation” column is a single real
# Unicode codepoint (the character itself, now encoded in an extension plane) —
# 36.4% of all gaiji OCCURRENCES. The 707 refs carrying only a lossy “normalized
# version” (a substitute standard char, 51.8% of occurrences) and the 3,564
# image-only refs (11.2%) are deliberately EXCLUDED — placeholder, not fake glyph
# (owner honesty gate). Refresh: bin/nabu sync kr-gaiji, then regenerate.
KR0001	𫠦
KR0005	將
KR0007	𤣥
KR0011	𩔖
KR0012	孤
KR0015	𥬇
KR0019	𫝊
KR0020	𫝑
KR0021	𥙊
KR0023	𫉬
KR0027	龜
KR0028	𨵿
KR0029	𠋣
KR0030	𦘕
KR0031	𩀱
KR0032	𨽻
KR0035	𣗳
KR0036	𤼵
KR0039	㸃
KR0040	雨
KR0041	蒙
KR0042	𢎞
KR0043	𪧐
KR0044	熱
KR0046	𨼆
KR0049	候
KR0050	𤓰
KR0051	𣈆
KR0053	收
KR0054	愽
KR0061	𡊮
KR0062	𢧐
KR0064	暴
KR0065	邉
KR0066	𩯭
KR0072	寃
KR0080	𫟍
KR0081	葛
KR0086	𢙣
KR0087	𥘿
KR0089	𦵏
KR0090	𧰼
KR0092	𨹧
KR0095	圡
KR0102	弊
KR0117	𨤲
KR0121	𠞰
KR0124	𩔗
KR0125	𠕋
KR0128	𣲖
KR0131	𦂳
KR0135	𦔳
KR0136	𬨨
KR0139	𩔰
KR0140	𢌿
KR0141	𧷢
KR0142	杞
KR0144	篆
KR0150	穀
KR0151	𡍼
KR0153	𠫵
KR0157	𢹂
KR0164	𥳑
KR0166	𪔂
KR0168	𠂻
KR0169	𨻶
KR0173	𨺚
KR0174	𣦸
KR0175	𠕅
KR0176	𦞃
KR0179	船
KR0182	𠑽
KR0184	𢬵
KR0185	𩦸
KR0193	冢
KR0200	𤨏
KR0202	𫿞
KR0203	𦍤
KR0206	𡺳
KR0207	龯
KR0217	𠡠
KR0218	𨙻
KR0220	𧇊
KR0222	𣻌
KR0223	𨕖
KR0226	珊
KR0228	𢡖
KR0231	戯
KR0233	𧰟
KR0234	𦗟
KR0236	錫
KR0240	𣵠
KR0241	𦤺
KR0242	𨷖
KR0246	絃
KR0248	候
KR0255	𣳚
KR0256	𡨕
KR0261	𣺌
KR0264	𣷹
KR0265	𤋮
KR0267	𤁋
KR0272	𩀌
KR0273	𦍒
KR0277	簾
KR0285	𥊏
KR0286	𥞇
KR0288	𩬊
KR0290	𦋺
KR0292	𨇠
KR0296	𧷤
KR0297	𨒪
KR0298	𠕅
KR0299	𡨜
KR0301	𡚶
KR0304	𥧌
KR0305	形
KR0307	𩛿
KR0312	𥮅
KR0314	𣵀
KR0316	𨚗
KR0318	𤦺
KR0319	𩜹
KR0321	𢃄
KR0326	𢌞
KR0329	𡁲
KR0332	𦙍
KR0336	胷
KR0337	痬
KR0342	𠊓
KR0351	𪠘
KR0353	𤑔
KR0354	𪋤
KR0356	𠲒
KR0358	𣙜
KR0361	𠦑
KR0368	优
KR0370	𨓆
KR0373	𤱶
KR0383	𠭇
KR0385	𨚍
KR0386	㴠
KR0392	𤎅
KR0396	𦕈
KR0398	𦝫
KR0399	皋
KR0400	𤠔
KR0401	𡖉
KR0402	𫾻
KR0404	𨓦
KR0409	𡙇
KR0411	𧴀
KR0413	𥹭
KR0415	㝡
KR0417	𣻉
KR0419	𨶕
KR0421	𡗝
KR0423	𦍑
KR0428	榦
KR0431	𦊨
KR0434	簒
KR0436	𣯶
KR0437	𨞬
KR0439	𢦤
KR0441	𠫊
KR0442	𡡾
KR0443	𢍆
KR0445	𣂏
KR0447	𠛬
KR0448	𦱤
KR0450	𥆳
KR0452	𡒄
KR0458	𠆸
KR0459	𠊱
KR0461	𡵯
KR0465	𠈁
KR0470	𡾟
KR0471	羋
KR0473	𤺋
KR0474	𥼶
KR0475	團
KR0478	甯
KR0480	兎
KR0485	𢚩
KR0486	泓
KR0488	𦸼
KR0489	𦙄
KR0490	夔
KR0491	𤁋
KR0495	𠒋
KR0496	冣
KR0497	𤰅
KR0498	𦈢
KR0501	𠟵
KR0506	𢠢
KR0507	𣪞
KR0508	𥸅
KR0509	𣹢
KR0511	𨛦
KR0512	𣝔
KR0513	𫃵
KR0514	直
KR0515	𪆟
KR0518	𤄊
KR0522	𣯛
KR0523	𦭘
KR0524	𣋌
KR0528	峰
KR0529	𪄠
KR0531	𠜇
KR0532	𠫤
KR0536	𤦛
KR0537	𨖚
KR0539	𠇍
KR0540	𡔷
KR0542	𤅬
KR0543	𢀿
KR0547	𤎆
KR0551	忩
KR0552	𥖎
KR0567	兔
KR0594	𢷬
KR0595	𢑱
KR0599	鉉
KR0629	𢢑
KR0636	𣶬
KR0642	𡰥
KR0644	泫
KR0645	𤫉
KR0647	𨒫
KR0665	𤾉
KR0681	𦲷
KR0696	𥲅
KR0699	𦌘
KR0710	𢶏
KR0721	炫
KR0726	𠎣
KR0730	𨗳
KR0740	𣸦
KR0757	𢮥
KR0759	𢍰
KR0774	煬
KR0776	𪰋
KR0780	𤯝
KR0787	𥈭
KR0796	𦞦
KR0812	𨤍
KR0851	𠪱
KR0866	𨩐
KR0867	𠌯
KR0870	𤢜
KR0874	𪊽
KR0876	𬓲
KR0878	𠛼
KR0880	七
KR0882	𡷫
KR0886	𡺚
KR0897	𢽟
KR0915	𧸛
KR0933	𢳣
KR0947	𠻳
KR0971	𩑺
KR0974	𤑻
KR0982	𠗂
KR0987	𠌂
KR1009	𨵗
KR1011	𨈆
KR1033	𡌴
KR1071	𣾘
KR1090	𥚢
KR1095	𥔲
KR1113	𨹓
KR1121	𠖇
KR1160	𡸣
KR1168	𠳲
KR1173	𧍧
KR1183	恵
KR1196	𨠯
KR1201	𩫈
KR1216	𥐼
KR1263	𣃁
KR1267	𣹑
KR1294	𩦎
KR1317	段
KR1328	𢪔
KR1335	𠼫
KR1348	𥋏
KR1373	𧇭
KR1380	𡎇
KR1413	𣲙
KR1420	𤒄
KR1432	𠙶
KR1437	𧴩
KR1454	𨻻
KR1460	𧫎
KR1488	𡼖
KR1504	𥐻
KR1529	𠼪
KR1551	𡒊
KR1553	𦨻
KR1567	𨔷
KR1608	𡱝
KR1643	
KR1673	𣴛
KR1680	𥋆
KR1684	𧵅
KR1697	𣶈
KR1712	𣖾
KR1713	𥓂
KR1714	𧸘
KR1719	𩢍
KR1729	𤩰
KR1731	鶴
KR1756	𡶭
KR1764	𨄅
KR1791	𨚲
KR1869	𥯦
KR1877	𤭁
KR1892	𪊍
KR1893	𨟉
KR1903	𥋋
KR1918	𤍟
KR1967	𢦦
KR1977	𡙆
KR2007	𢘿
KR2091	𥒖
KR2118	𡼱
KR2144	𡶗
KR2161	䷀
KR2189	䷋
KR2217	𡹬
KR2225	𤡊
KR2248	𡿗
KR2254	𩫹
KR2265	𤭛
KR2277	䷠
KR2307	䷗
KR2308	䷊
KR2316	𡴴
KR2336	䷒
KR2372	䷖
KR2373	☰
KR2398	𨘷
KR2402	䷪
KR2403	䷡
KR2424	𩻟
KR2441	䷓
KR2442	䷁
KR2479	䷫
KR2480	䷃
KR2481	䷂
KR2494	𡷛
KR2514	☷
KR2561	䷟
KR2562	䷅
KR2563	䷄
KR2626	𥢾
KR2656	䷾
KR2657	䷶
KR2658	䷚
KR2659	䷌
KR2660	䷆
KR2661	☶
KR2662	☵
KR2675	𡼢
KR2701	䷳
KR2702	䷨
KR2703	䷣
KR2704	䷜
KR2705	䷛
KR2706	䷈
KR2713	𣷡
KR2743	䷸
KR2744	䷰
KR2745	䷐
KR2746	䷎
KR2747	䷍
KR2748	䷇
KR2749	☳
KR2762	𡶵
KR2791	𢈶
KR2807	䷼
KR2808	䷴
KR2809	䷬
KR2810	䷦
KR2811	䷥
KR2812	䷢
KR2813	䷞
KR2814	䷘
KR2815	䷑
KR2816	☲
KR2819	𡺀
KR2865	䷿
KR2866	䷻
KR2867	䷤
KR2868	䷝
KR2886	𡺭
KR2926	䷺
KR2927	䷷
KR2928	䷵
KR2929	䷯
KR2930	䷩
KR2931	䷕
KR2968	𥞴
KR2982	䷲
KR2983	䷱
KR2984	䷮
KR2985	䷏
KR2986	䷉
KR2987	☴
KR2998	𧒬
KR3047	䷽
KR3048	䷭
KR3049	䷧
KR3050	䷙
KR3051	䷔
KR3052	☱
KR3091	䷹
KR3160	𡽳
KR3179	𣈭
KR3286	𡏮
KR3518	𦶝
KR3527	𣻕
KR3879	𥒸
KR4014	𡙋
KR4708	
KR4709	
KR4710	
KR4711	󽻬
KR4712	
KR4713	󰉕
KR4714	󰄞
KR4715	󰓢
KR4716	塜
KR4717	󰠨
KR4718	
KR4719	
KR4720	󰙫
KR4721	󰍥
KR4722	󰇓
KR4723	
KR4724	
KR4725	
KR4726	󰟦
KR4727	󰔋
KR4728	󰍰
KR4729	󰅾
KR4730	
KR4731	
KR4732	
KR4733	
KR4734	
KR4735	󰍴
KR4736	󰍯
KR4737	
KR4738	
KR4739	
KR4740	
KR4741	
KR4742	
KR4743	󰁵
KR4744	󰁘
KR4745	
KR4746	
KR4747	
KR4748	
KR4749	
KR4750	󰣃
KR4751	󰠄
KR4752	󰕢
KR4753	󰔅
KR4754	󰍭
KR4755	
KR4756	
KR4757	
KR4758	
KR4759	
KR4760	
KR4761	
KR4762	
KR4763	
KR4764	
KR4765	
KR4766	󻴧
KR4767	󻣀
KR4768	󻕹
KR4769	󺽟
KR4770	󰣕
KR4771	󰠷
KR4772	󰠶
KR4773	󰞻
KR4774	󰕇
KR4775	󰔁
KR4776	󰓾
KR4777	󰏉
KR4778	󰉪
KR4779	󰈘
KR4780	󰇧
KR4781	󰀾
KR4782	
KR4783	
KR4784	
KR4785	
KR4786	
KR4787	
KR4788	
KR4789	
KR4790	
KR4791	
KR4792	
KR4793	
KR4794	
KR4795	
KR4796	
KR4797	
KR4798	
KR4799	
KR4800	
KR4801	
KR4802	
KR4803	󽹪
KR4804	󽮤
KR4805	󽅩
KR4806	󼆸
KR4807	󼅘
KR4808	󻰢
KR4809	󻰅
KR4810	󻈕
KR4811	󺨁
KR4812	󺇃
KR4813	󺅦
KR4814	󱊕
KR4815	󰣯
KR4816	󰣮
KR4817	󰣪
KR4818	󰣣
KR4819	󰣠
KR4820	󰢺
KR4821	󰡯
KR4822	󰡮
KR4823	󰡩
KR4824	󰡥
KR4825	󰡤
KR4826	󰡣
KR4827	󰡢
KR4828	󰡠
KR4829	󰡟
KR4830	󰡞
KR4831	󰡝
KR4832	󰡜
KR4833	󰡛
KR4834	󰡚
KR4835	󰡙
KR4836	󰡘
KR4837	󰡖
KR4838	󰡕
KR4839	󰡔
KR4840	󰡓
KR4841	󰡒
KR4842	󰡑
KR4843	󰡐
KR4844	󰡏
KR4845	󰡎
KR4846	󰡍
KR4847	󰡌
KR4848	󰡋
KR4849	󰡊
KR4850	󰡉
KR4851	󰡈
KR4852	󰡇
KR4853	󰡆
KR4854	󰡅
KR4855	󰡄
KR4856	󰡃
KR4857	󰡂
KR4858	󰡁
KR4859	󰡀
KR4860	󰠿
KR4861	󰠾
KR4862	󰠽
KR4863	󰠼
KR4864	󰠸
KR4865	󰠵
KR4866	󰠛
KR4867	󰠏
KR4868	󰠉
KR4869	󰟩
KR4870	󰝼
KR4871	󰜲
KR4872	󰛡
KR4873	󰛁
KR4874	󰚽
KR4875	󰚹
KR4876	󰚳
KR4877	󰚱
KR4878	󰚪
KR4879	󰚩
KR4880	󰚨
KR4881	󰚧
KR4882	󰚕
KR4883	󰚇
